videoId,videoTitle,extracted_motion,category
_kjeQW-RNyw,WSDC 2025 Grand Final,"TH prefers a world with a strong belief in seriti ",culture;philosophy
_o-XHGe0UAA,UADC 2025 Open Grand Final,"In states facing armed insurgencies, THS the deployment of Private Military and Security Contractors at all critical resource extraction sites in exchange for joint contorl",military
lHL0R4rN9Vg,UADC 2025 EFL Grand Final,THP a world where all major religions did not obligate their followers to go on religious pilgrimages GOV: BSU CCO OPP: BUP AMS ---- Opp won,religion
sUH3dnzLMm0,Panama WUDC 2025 Open Finals,"This House Supports the shift away from the traditional left-right spectrum in the politics of major democracies OG BQDC A OO Sydney B CG Dartmouth A CO Oxford C Milos MarjanovicⒸ , Alice Bertoni , Dennis Su , Erasmus &quot;9 fingers only&quot; Mawuli Segbefia , Jack Stanley , Martha McKinney-Perry , Max Rosen , Paula Djakovic , Tengku Omar Azfar Haqqani CG won",culture;politics
m4lxeOCiOys,Panama WUDC 2025 ESL Finals,"This House, as the Holy See, would adopt the "two-speed Church" policy,politics
LD4ixYDPuXQ,Panama WUDC 2025 EFL Finals,"This House Believes That Trumpism is in the long-term interest of the Republican Party",;politics
RG53F3qSBW8,Panama WUDC 2025 Open Semifinals Pt2,This House Would militarily intervene in Sudan,military
Z8ZFbzYE1y0,Panama WUDC 2025 Open Semifinals Pt1,This House Would militarily intervene in Sudan,military
c3SrSaGEWg0,Panama WUDC 2025 Open Quarterfinals,This House Believes that it is in the interest of the USA to significantly reduce the size and power of federal government agencies,media;politics
bBuFrywKJVA,Panama WUDC 2025 ESL Semifinals,This House Opposes the increased shift to subscription based business models,technology
08Axk2jtq5c,Panama WUDC 2025 Open Octofinals,This House Opposes the prominence of the trauma plot in media and art,media;narrative
SFWz9wKwvuM,Panama WUDC 2025 Round 7,This House Prefers the citizen welfare standard to the consumer welfare standard,artificial intelligence;economics;environment;law;philosophy
8hLYp8Ox6MU,Panama WUDC 2025 Round 6,This House Supports the rise of specialised private equity firms and funds that focus on specific sectors or geographies,
tCrVGvuPocs,Panama WUDC 2025 Round 5,that ousted Bangladesh's ruling Awami League government and led to the establishment of a politically neutral interim government,artificial intelligence;education;philosophy;politics
_hOn3KFxqlI,Panama WUDC Round 4 Pt2,This House Believes that feminists in Western Liberal Democracies should adopt reconciliatory rather than confrontational approaches in their advocacy,philosophy
AgF79eQluvw,Panama WUDC 2025 Round 4 Pt1,This House Believes that feminists in Western Liberal Democracies should adopt reconciliatory rather than confrontational approaches in their advocacy,philosophy
GB5vfh7x2bE,Panama WUDC 2025 Round 3,This House Believes that US involvement in Panama has benefitted Panama,media
Pak7I10BKCA,Panama WUDC 2025 Round 1,that are clearly delineated (e,education;environment;media;narrative
yLCQ_rp6YKM,Panama WUDC 2025 Round 2,This House Opposes confidence culture,artificial intelligence;culture;development;media
ayBAkyu2qJA,Krabi ABP 2024 Open & EFL Finals,"thwestern coast of Madagascar, known for their deep connection to the sea",artificial intelligence;culture
5ReipJ8VY6I,LSE Open 2024 Open Semifinals,THBT Narendra Modi's tenure as Prime Minister has done more harm than good for India,
jhZJYUIgfQk,LSE Open 2024 Round 2 C,"that is an advanced artificial intelligence-driven humanoid machine equipped with a range of sensors, cameras, and communication devices",artificial intelligence;conflict;law;military;politics
epA2rsWyP38,LSE Open 2024 ESL Final Part2,THBT Narendra Modi's tenure as Prime Minister has done more harm than good for India OG: Tartu A OO: Athens A * DLO did not consent to recording CG: burning trashfire CO: Balkan Girls * MO did not consent to recording OO wins on a 3-2 split,
Sdzo-MTsors,LSE Open 2024 ESL Final Part1,THBT Narendra Modi's tenure as Prime Minister has done more harm than good for India OG: Tartu A OO: Athens A * DLO did not consent to recording CG: burning trashfire CO: Balkan Girls * MO did not consent to recording OO wins on a 3-2 split,
JeW_hOW70sw,LSE Open 2024 Open Final,that would maintain the current status of the climate,artificial intelligence;environment;tourism
z-psm84s6Q8,LSE Open 2024 Open Quarterfinals B,"THBT European football leagues should require teams to include a minimum of five domestic players in their starting line-up OG: Princeton/McGill LR OO: Ninja Pagongs CG: drink on us for guessing which of us debates on their birthday *max of one guess per person, the drink will be tournament yakka, T&Cs apply CO: Asian John and White Yoko OG and OO progressed",philosophy;sport
iF7HKl7oNlM,LSE Open 2024 Open Quarterfinals A,"THBT European football leagues should require teams to include a minimum of five domestic players in their starting line-up OG: Harish and Matt OO: Extending into your mum&#x27;s dm CG: Dr Strangelove or How I Learned to Stop Worrying and Love the Bin CO: We came here to end racism and win debates, and we're all out of racism OG and CO progressed",philosophy;sport
PNjaMg56KgY,LSE Open 2024 Round 5 B,"THS the current economic decline of China Results: CO, OO, OG, CG PM Taha Iqbal 77",artificial intelligence;conflict;economics;politics
x1Im_6L-gCA,LSE Open 2024 Round 5 A,"THS the current economic decline of China Results: OO, CO, CG, OG PM Dylan McCarthy 78",economics;politics
Xvazburi7aU,LSE Open 2024 Round 4 C,"This House Believes that modern rap and hip-hop has done more harm than good for women Results: CO, OO, CG, OG PM Rumen Marinov 80",media;politics
h5Xw3opE1wA,LSE Open 2024 Round 4 B,"This House Believes that modern rap and hip-hop has done more harm than good for women Results: OO, OG, CO, CG PM Fraser McConachie 81",artificial intelligence;media;politics
7gr5gOfP-40,LSE Open 2024 Round 4 A,"This House Believes that modern rap and hip-hop has done more harm than good for women Results: OO, CG, OG, CO PM Matt Caito83",artificial intelligence;media;politics
PmUAh2qfGwY,LSE Open 2024 Round 3 B,"TH, as Putin, regrets Russia's invasion of Ukraine in 2022 Results: OO, CO, OG, CG PM Maurice Coutiel75",artificial intelligence;conflict;politics
wV7x8P2kefI,LSE Open 2024 Round 3 A,"TH, as Putin, regrets Russia's invasion of Ukraine in 2022 Results: OG, CG, OO, CO PM Aniket Chakravorty 83",artificial intelligence;conflict;politics
45n0fT8Cyak,LSE Open 2024 Round 2 B,"This House Prefers a world with the mass replacement of human police officers with Robocops to a world with no Robocops.",artificial intelligence;conflict;law;military
YI89yBO-lhE,LSE Open 2024 Round 2 A,"This House Prefers a world with the mass replacement of human police officers with Robocops to a world with no Robocops.",artificial intelligence;conflict;law;military
WM7e0YtXRI8,LSE Open 2024 Round 1B,that is affiliated with a particular religious tradition or denomination,artificial intelligence;conflict;culture;education;religion
qVijCSdOIoo,LSE Open 2024 Round 1A,that is affiliated with a particular religious tradition or denomination,artificial intelligence;culture;education;religion
oy_zE6G7Qzs,Vietnam WUDC 2024 Open Grand Finals,This House opposes the norm to prefer the natural to the artificial,media
YVj0Zl6w0Xo,Vietnam WUDC 2024 Open Semifinals (Part 2),that invests in sovereign debt that a government is refusing to pay back (distressed debt),politics
4xF5Nu675PE,Vietnam WUDC 2024 Open Semifinals (Part 1),that invests in sovereign debt that a government is refusing to pay back (distressed debt),politics
5Elgthsky4E,Vietnam WUDC 2024 ESL Semifinals,"that if a single entity or person acquires a large enough stake, the company will issue shares",artificial intelligence
zuscRZBlwG8,Vietnam WUDC 2024 Open Quarterfinals,"that regime, and instead concentrating on the future",artificial intelligence;conflict;politics
zcyN2x02PnY,Vietnam WUDC 2024 EFL Semifinals,This House prefers a diverse number of highly competitive banks to a small number of banks,
7AM3EHo9sAE,Vietnam WUDC 2024 ESL Quarterfinals,th issues affecting the specific individuals involved in the attack),artificial intelligence;conflict;philosophy
v1Gmk0VQ-ho,Vietnam WUDC 2024 Open Octofinals,This House opposes the stigma against laziness OG: McGill A OO: Cambridge B CG: Princeton A CO: Zagreb A OG and CO progressed https://wudc2024,artificial intelligence
w7Wk1qXj2ZA,Vietnam WUDC Training - Argument Construction,,artificial intelligence
mw8PVl0Golw,Vietnam WUDC 2024 Demo Debate,This House supports the remilitarisation of Japan,artificial intelligence;military
zFbXK6afiH8,Vietnam WUDC 2024 Round 3 (Part 2),This House believes that opposition parties in illiberal democracies should strongly pivot towards empowering women as the primary focus of their campaign https://wudc2024,artificial intelligence;conflict;philosophy
gFmy_3UhuBw,Vietnam WUDC 2024 Round 3 (Part 1),This House believes that opposition parties in illiberal democracies should strongly pivot towards empowering women as the primary focus of their campaign,artificial intelligence;conflict;philosophy
NcSI-Z-Qovg,Vietnam WUDC 2024 Round 2,that governments can consider disadvantage in policy-making,education;politics
48H6CIIDTOk,Navigating Africa's Economics (Vietnam WUDC Training),,artificial intelligence;economics
WpUhmYVB9JY,A deep dive into the Politics and IR of Latam (Vietnam WUDC 2023),Three times WUDC EFL Finalist https://www,artificial intelligence;politics
